413,290,256,14,344,187,275,6
229,143,133,188,173,485,101,0
256,101,505,214,108,71,406,363
247,86,401,308,157,472,373,419
345,181,206,65,126,37,270,6
210,225,271,110,106,357,412,3
323,76,167,140,194,454,132,0
486,37,239,54,433,294,350,6
232,299,276,90,63,293,515,0
389,256,208,0,287,40,175,28
94,313,185,54,245,111,38,2
48,440,278,396,485,297,108,3
517,372,452,337,202,239,216,133
467,60,500,15,486,125,198,92
129,385,211,144,340,306,447,3
142,35,495,148,100,214,243,372
207,26,261,167,389,273,93,3
159,437,96,42,149,444,335,6
194,405,267,100,50,226,85,7
112,493,485,188,97,326,329,213
239,109,509,245,96,234,227,6
36,162,450,303,484,138,2,78
261,108,263,341,252,296,503,62
453,149,148,255,326,343,362,497
