425,168,207,111,455,105,82,1
277,33,346,466,315,109,135,7
228,62,68,202,160,199,49,3
383,357,140,22,365,325,320,343
176,0,259,127,217,241,94,1
246,61,499,353,419,0,147,445
352,190,37,175,65,225,89,1
133,236,66,211,35,153,25,5
356,303,466,110,102,418,191,12
172,138,353,368,339,124,61,7
148,487,114,491,353,304,72,7
283,76,268,239,501,417,415,327
308,409,11,144,35,468,51,2
406,227,85,201,408,1,138,135
372,102,317,240,14,172,107,3
389,215,384,230,346,192,209,184
365,138,142,215,338,75,88,512
306,472,169,9,302,411,13,232
388,146,92,495,415,292,97,318
364,196,219,287,208,452,507,4
290,117,371,5,298,178,191,378
210,473,497,356,203,127,21,6
202,508,491,242,35,451,448,71
230,113,91,25,166,221,186,4
