731,217,591,650,80,104,749,5
483,285,236,485,114,613,656,4
526,575,111,518,554,698,197,5
442,756,17,305,759,341,333,3
461,205,695,452,18,425,198,0
325,264,335,251,244,359,552,374
718,219,78,63,365,194,659,6
77,477,437,435,489,396,503,7
333,489,313,315,468,453,483,281
360,424,412,118,319,66,501,286
761,766,268,387,367,132,502,2
470,11,377,526,461,240,79,3
478,276,312,368,503,376,318,0
392,336,265,440,288,80,430,3
210,406,728,331,409,395,105,620
350,299,597,746,43,381,435,1
531,168,281,682,746,77,249,194
245,661,148,649,421,358,57,6
532,407,71,89,554,699,766,6
297,425,47,738,34,95,760,3
662,277,269,450,15,55,408,2
77,589,19,276,65,146,427,1
394,624,585,430,379,755,359,4
385,530,677,654,221,29,4,107
