325,114,766,107,373,492,606,6
216,192,672,525,0,213,138,180
397,519,445,446,489,638,631,319
737,588,526,717,484,322,718,7
506,641,668,741,89,363,468,7
294,526,519,360,478,319,706,3
147,221,118,113,207,38,106,3
63,235,287,258,256,36,9,5
14,278,138,161,72,304,137,7
601,228,148,336,742,692,528,170
96,261,19,26,185,726,613,3
439,523,432,534,394,544,383,207
378,347,72,408,308,159,609,23
346,57,91,342,54,422,101,415
639,467,750,189,571,682,298,232
753,140,774,681,264,489,99,1
709,77,616,94,605,75,199,1
647,340,674,26,520,645,410,686
50,290,767,77,710,452,476,7
535,118,643,191,134,699,170,4
453,123,398,445,467,174,479,3
8,224,587,507,65,84,430,766
263,99,540,209,27,547,297,21
283,137,674,25,639,220,214,609
