179,544,560,480,744,670,3,6
58,440,80,413,674,702,439,155
549,554,764,211,59,681,687,2
758,654,670,234,261,37,221,2
142,229,704,85,257,77,696,7
161,208,591,743,422,716,227,3
605,94,528,544,738,744,524,45
252,512,700,636,289,610,283,6
142,616,752,153,757,173,247,3
114,484,704,223,660,25,594,0
662,0,615,16,614,80,25,133
253,421,36,641,176,565,734,704
543,207,579,752,731,548,698,5
576,670,650,18,172,739,96,193
363,132,621,733,462,545,739,7
6,153,499,444,311,730,227,285
489,137,260,412,14,53,210,470
632,183,716,111,203,648,229,2
237,711,249,548,88,175,735,530
44,112,179,124,463,75,7,113
400,385,451,233,700,317,271,167
408,91,706,182,596,311,428,621
550,620,433,455,52,675,229,5
635,153,434,564,731,121,588,662
