166,132,92,32,48,232,480,3
190,439,162,413,210,64,135,2
104,50,215,198,253,84,42,19
140,97,171,99,209,508,146,30
104,305,315,271,285,1,3,0
8,512,401,208,441,463,105,70
36,83,84,443,438,295,112,516
14,108,151,497,7,413,485,4
142,351,154,109,238,78,52,235
51,61,447,156,504,511,203,20
127,186,366,429,461,146,455,432
465,479,127,262,392,4,222,252
212,184,392,492,19,97,95,409
274,387,369,137,365,69,366,335
86,175,459,306,93,434,417,505
272,162,328,376,395,468,470,411
274,192,117,211,321,487,300,5
172,25,269,280,122,9,299,104
518,213,123,157,189,128,54,263
109,131,243,498,400,477,167,55
511,500,377,479,340,429,11,406
85,196,340,241,437,511,469,225
383,85,495,364,517,214,398,494
235,354,384,442,248,78,486,156
