430,348,92,169,425,199,455,1
30,214,88,263,261,60,157,7
65,119,236,128,22,502,144,2
488,397,287,342,6,27,268,454
481,450,462,488,6,294,382,354
264,396,444,498,279,484,309,6
351,499,446,331,354,247,519,120
476,127,400,424,471,208,367,0
488,408,343,143,406,515,45,88
184,443,282,326,301,422,476,8
279,277,245,0,474,508,360,417
445,243,85,288,330,506,482,1
77,508,127,245,98,255,413,7
296,182,154,272,113,262,427,133
80,406,137,10,274,361,7,142
266,151,27,66,491,274,408,396
377,328,9,332,483,16,337,3
119,272,231,496,155,128,143,390
469,167,155,272,393,423,502,7
101,286,43,171,140,133,189,6
130,162,61,132,84,31,43,3
239,291,50,223,217,114,517,6
504,484,237,332,172,38,124,49
215,510,502,406,208,124,209,4
